name,category,geographic_applicability,description,co_benefits,cost_estimate,implementation_complexity,source_url,tags
Approaches to assessing land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Status and current trends of land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Forest degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Projections of land degradation in a changing climate,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Direct impacts on land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Indirect impacts on land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Impacts of bioenergy and technologies for CO2 removal (CDR) on land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Potential scale of bioenergy and land-based CDR,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Risks of land degradation from expansion of bioenergy and land-based CDR,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Potential contributions of land-based CDR to reducing and reversing land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Traditional biomass provision and land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Impacts of land degradation on climate,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Impact on greenhouse gases (GHGs),Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Physical impacts,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Impacts of climate-related land degradation on poverty and livelihoods,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
"Relationships between land degradation, climate change and poverty",Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Impacts of climate-related land degradation on food security,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Impacts of climate-related land degradation on migration and conflict,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
4.8 Addressing land degradation in the context of climate change,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
4.8.1 Actions on the ground to address land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Local and indigenous knowledge for addressing land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Reducing deforestation and forest degradation and increasing afforestation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Sustainable forest management (SFM) and CO2 removal (CDR) technologies,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Policy responses to land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Resilience and thresholds,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Barriers to implementation of sustainable land management (SLM),Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Case studies,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
